"","x","name","season","team.x","gp.x","w.x","l.x","min.x","dist_feet","dist_miles","dist_miles_off","dist_miles_def","avg_speed","avg_speed_off","avg_speed_def","rk","salary_current","salary_next","contract_year","team.y","gp.y","w.y","l.y","min.y","pts","touches","front_ct_touches","time_of_poss","avg_sec_per_touch","avg_drib_per_touch","pts_per_touch","elbow_touches","post_ups","paint_touches","pts_per_elbow_touch","pts_per_post_touch","pts_per_paint_touch"
"71",71,"Andrew_Harrison","2017","MEM",72,38,34,20.5,7116.4,1.35,0.74,0.61,3.95,4.14,3.75,429,945000,987525,0,"MEM",56,17,39,23.7,9.5,54.4,25.1,4.3,4.77,4.36,0.175,0.5,0,0.4,0.556,1,0.143
"72",72,"Andrew_Harrison","2018","MEM",56,17,39,23.7,8787.9,1.66,0.91,0.76,4.24,4.45,4.01,403,1312611,1544951,0,"NOP",17,6,11,10.9,3.2,23.5,8.3,2.2,5.56,5.37,0.135,0.1,0.1,0.3,0,0,0.4
"75",75,"Andrew_Wiggins","2017","MIN",82,31,51,37.2,13024.1,2.47,1.34,1.13,3.98,4.23,3.73,164,6006600,7574322,0,"MIN",82,47,35,36.3,17.7,42.5,31.7,2.1,2.9,1.95,0.416,0.5,2.5,2.3,0.636,0.665,1.122
"76",76,"Andrew_Wiggins","2018","MIN",82,47,35,36.3,12807.1,2.43,1.28,1.14,4.01,4.09,3.92,146,7574322,0,1,"MIN",73,31,42,34.8,18.1,48,34.8,2.6,3.23,2.24,0.377,0.8,2.3,2.2,0.909,0.527,0.828
"77",77,"Andrew_Wiggins","2019","MIN",73,31,42,34.8,13269.2,2.51,1.35,1.17,4.04,4.29,3.78,21,25467250,27270000,0,"GSW",54,15,39,34.4,21.8,65.7,41,4.1,3.7,2.94,0.331,0.8,1,2.3,0.705,0.607,0.903
"79",79,"Anfernee_Simons","2019","POR",20,17,3,7,2896.8,0.55,0.31,0.24,4.35,4.55,4.12,351,1835520,2149560,0,"POR",65,28,37,21.5,8.8,31.8,14,2.1,3.89,3.36,0.277,0.2,0,0.5,0.417,0,0.774
"81",81,"Ante_Zizic","2018","CLE",32,21,11,6.7,2540.9,0.48,0.26,0.22,4.31,4.43,4.18,335,1645200,1952760,0,"CLE",59,13,46,18.3,7.8,22.8,14.9,0.7,1.79,0.59,0.342,4.1,2.5,6.1,0.405,0.43,0.922
"82",82,"Ante_Zizic","2019","CLE",59,13,46,18.3,6771.4,1.28,0.68,0.61,4,4.06,3.92,341,1952760,2281800,0,"CLE",22,4,18,10,4.4,13.8,7.7,0.4,1.63,0.48,0.317,1.7,1.2,3.7,0.579,0.769,0.976
"84",84,"Anthony_Brown","2017","ORL",11,3,8,14.5,5557.6,1.05,0.54,0.51,4.38,4.7,4.09,440,874636,0,1,"MIN",1,0,1,3.7,3,5,2,0.2,2.32,1.8,0.6,0,0,0,0,0,0
"85",85,"Anthony_Brown","2017","ORL",11,3,8,14.5,5557.6,1.05,0.54,0.51,4.38,4.7,4.09,450,735723,1014746,0,"MIN",1,0,1,3.7,3,5,2,0.2,2.32,1.8,0.6,0,0,0,0,0,0
